,movie_name,movie_ratings,movie_image,movie_genre
0,K.G.F: Chapter 2,8.3,"https://m.media-amazon.com/images/M/MV5BMjI2Njg2Y2EtZjgwMC00ZGVkLWJmMWYtYjVhYjk2ZTkwNWE1XkEyXkFqcGdeQXVyMTMxMjA5NDU1._V1_UY209_CR13,0,140,209_AL_.jpg","Action, Crime, Drama            "
1,Vikram,8.3,"https://m.media-amazon.com/images/M/MV5BMDRiOWNjYjUtMDI0ZC00MDMyLTkwZDItNTU5NWQ1NjEyNGYxXkEyXkFqcGdeQXVyMTIyNzY0NTMx._V1_UX140_CR0,0,140,209_AL_.jpg","Action, Crime, Thriller            "
2,Bheeshma Parvam,7.7,"https://m.media-amazon.com/images/M/MV5BOTVmMDMwYWMtOGM1Ni00YmFiLTg4OGItMjEyYTQ3MDQ1MzVmXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY209_CR14,0,140,209_AL_.jpg","Action, Crime, Drama            "
3,Rorschach,7,"https://m.media-amazon.com/images/M/MV5BNWZmZWNkYTUtZmNjOC00MzUwLTg4NmQtMzFjZDg1MGU3NmQ0XkEyXkFqcGdeQXVyODA1MTcyNjE@._V1_UY209_CR6,0,140,209_AL_.jpg","Action, Mystery, Thriller            "
4,Sita Ramam,8.6,"https://m.media-amazon.com/images/M/MV5BN2RjZDJhYzUtOTQ5Yy00OWM3LWE5OTctM2Y0YWVmNzAzODllXkEyXkFqcGdeQXVyMTA3MDk2NDg2._V1_UX140_CR0,0,140,209_AL_.jpg","Action, Drama, Mystery            "
5,Ponniyin Selvan: Part I,7.7,"https://m.media-amazon.com/images/M/MV5BZjZlNGRhNTQtZTY1Ni00MjdhLWJhYjEtN2NkMjVmNTAwMjZmXkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_UX140_CR0,0,140,209_AL_.jpg","Action, Adventure, Drama            "
6,RRR,7.9,"https://m.media-amazon.com/images/M/MV5BODUwNDNjYzctODUxNy00ZTA2LWIyYTEtMDc5Y2E5ZjBmNTMzXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY209_CR8,0,140,209_AL_.jpg","Action, Adventure, Drama            "
7,Kantara,8.3,"https://m.media-amazon.com/images/M/MV5BNjQyNGI5OWEtZjI1Yy00NDVjLWE4MTAtMzRlNzU1NzM2OGVkXkEyXkFqcGdeQXVyMTA1NzEzOTU1._V1_UY209_CR2,0,140,209_AL_.jpg","Action, Adventure, Drama            "
8,Brahmastra Part One: Shiva,5.5,"https://m.media-amazon.com/images/M/MV5BZjY2MmI1ZWItNmU0Yy00NTdkLWJiYmQtNzFlZWNlMzkxZTZjXkEyXkFqcGdeQXVyNjkwOTg4MTA@._V1_UY209_CR13,0,140,209_AL_.jpg","Action, Adventure, Fantasy            "
9,Kadaisi Vivasayi,8.8,"https://m.media-amazon.com/images/M/MV5BOWRmYjI2MGQtODQ5NS00NjU5LThiOWYtNDliOGVjZDNmZWVhXkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_UY209_CR5,0,140,209_AL_.jpg","Comedy, Drama            "
10,Mahaan,7.6,"https://m.media-amazon.com/images/M/MV5BMjlhZjg5YzAtMGFiNS00OGMzLTkxYjAtMGFkNTg5MzM1ZmNmXkEyXkFqcGdeQXVyMTE2NTYzNTQy._V1_UX140_CR0,0,140,209_AL_.jpg","Action, Drama, Thriller            "
11,Mudhal Nee Mudivum Nee,8,"https://m.media-amazon.com/images/M/MV5BNmZkOThkNWYtOTY1ZC00MzZiLWExMDEtMTNhZDcyOGZiZTM5XkEyXkFqcGdeQXVyMTA5MTkyMzU2._V1_UY209_CR13,0,140,209_AL_.jpg","Drama, Fantasy, Romance            "
12,Hridayam,8.1,"https://m.media-amazon.com/images/M/MV5BYzQ0NGNlNGItMTQ2Ny00YjliLTkzZDktN2VlMWQzNWIwODU5XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY209_CR13,0,140,209_AL_.jpg","Drama, Musical, Romance            "
13,A Thursday,7.7,"https://m.media-amazon.com/images/M/MV5BZjhjMjIwMTUtNDNjNS00N2NjLWE1OTMtYjg2ZWJmNzhkOGJiXkEyXkFqcGdeQXVyMTI1NDEyNTM5._V1_UY209_CR2,0,140,209_AL_.jpg","Drama, Thriller            "
14,Thallumaala,7,"https://m.media-amazon.com/images/M/MV5BMTU1MjcyMGUtODI3ZS00NTc4LWExNjgtY2ZjZGJlZmUyMmFhXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY209_CR1,0,140,209_AL_.jpg","Action, Comedy, Drama            "
15,Pada,7.8,"https://m.media-amazon.com/images/M/MV5BZWJhM2E2YWItNjgxZC00OWRiLWEwNWYtOWE5ZWU0YjQxYTFlXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY209_CR1,0,140,209_AL_.jpg","Crime, Drama, Thriller            "
16,Oruthee,7.4,"https://m.media-amazon.com/images/M/MV5BMmFkMDFjYjItNmU3Ni00YWE4LTliOGUtYWRkMjQwYmQ4MTNjXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY209_CR1,0,140,209_AL_.jpg","Drama, Family, Thriller            "
17,Jhund,7.4,"https://m.media-amazon.com/images/M/MV5BZmM1NjIwMDUtY2UxYy00YTQyLWE1NWYtMDljMDUxNTAzNmUyXkEyXkFqcGdeQXVyMTIyNzY0NTMx._V1_UY209_CR13,0,140,209_AL_.jpg","Biography, Drama, Sport            "
18,Badhaai Do,7,"https://m.media-amazon.com/images/M/MV5BZjExNGM5MTMtNTFlNy00OThlLTlhYzctOWEzZjQ4MWY3YTUyXkEyXkFqcGdeQXVyMTI1NDEyNTM5._V1_UY209_CR13,0,140,209_AL_.jpg","Comedy, Crime, Drama            "
19,Meppadiyan,7.2,"https://m.media-amazon.com/images/M/MV5BOGE2M2JlNjktMzdlYS00NGYyLWIyNDItNzU4YTIwNTBlZWQ4XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY209_CR8,0,140,209_AL_.jpg","Drama, Thriller            "
20,Super Sharanya,6.4,"https://m.media-amazon.com/images/M/MV5BOTdkNjJjZTUtODNiYy00ZGU0LWJlNjEtOWIxMjRlZmViNzY0XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY209_CR2,0,140,209_AL_.jpg","Comedy, Romance            "
21,Bro Daddy,7,"https://m.media-amazon.com/images/M/MV5BY2Q2YWM3YjgtNzcyNy00MjczLWJiZGUtOWY5MDFhYmRiMDU3XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY209_CR3,0,140,209_AL_.jpg","Comedy, Drama            "
22,FIR,6.9,"https://m.media-amazon.com/images/M/MV5BYTZhNzI1ZGUtYjlkNS00MzI1LWEzY2EtMmI3YjJkMzNhOWU2XkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_UX140_CR0,0,140,209_AL_.jpg","Action, Thriller            "
23,Gehraiyaan,5.9,"https://m.media-amazon.com/images/M/MV5BOGRhZmVhMzQtYWRhZC00MDYwLTlmMTMtZGNhYzgzOTZlZmMyXkEyXkFqcGdeQXVyMTI1NDEyNTM5._V1_UY209_CR13,0,140,209_AL_.jpg","Drama, Romance            "
24,James,7.5,"https://m.media-amazon.com/images/M/MV5BNDA3ZGM2ODktMGFhZi00NjY4LTg3MDAtNGQzMzg3ZmIxNWJkXkEyXkFqcGdeQXVyMzc4ODk0NTc@._V1_UX140_CR0,0,140,209_AL_.jpg","Action, Comedy, Drama            "
25,Jana Gana Mana,8.3,"https://m.media-amazon.com/images/M/MV5BMzU0MjM3YTQtZmNjYi00ODI5LThhYzQtOWMwZjAxMjg2MTRjXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY209_CR1,0,140,209_AL_.jpg","Crime, Drama, Thriller            "
26,Puzhu,6.2,"https://m.media-amazon.com/images/M/MV5BMTQ2MDBhMDUtZTMzZC00OWRhLTk0ZjktZDI0ZDMxZmRmOGQ5XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY209_CR0,0,140,209_AL_.jpg","Crime, Drama, Thriller            "
27,Sharmaji Namkeen,7.6,"https://m.media-amazon.com/images/M/MV5BY2MxNjVlNjMtOGExMi00NWRjLThhYzQtNDY4OWZkMzcwNjhiXkEyXkFqcGdeQXVyMTI1NDEyNTM5._V1_UY209_CR13,0,140,209_AL_.jpg","Comedy, Drama, Family            "
28,Attack,6.8,"https://m.media-amazon.com/images/M/MV5BNzY1MWU0YjMtNGQ1ZS00OWYyLTliOTAtMDYzNjEyM2UxNmI4XkEyXkFqcGdeQXVyMTIyNzY0NTMx._V1_UY209_CR13,0,140,209_AL_.jpg","Action, Sci-Fi, Thriller            "
29,John Luther,7,"https://m.media-amazon.com/images/M/MV5BNDk4YWYyYmEtMGM1Mi00MmJiLTkyYzQtMDY2ZTlkMzViN2M4XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY209_CR13,0,140,209_AL_.jpg","Crime, Mystery, Thriller            "
30,Bhoothakaalam,7.5,"https://m.media-amazon.com/images/M/MV5BNTYzZGFhMjctMzc5Yi00MDE5LWFiZWUtMWFmMTUxM2E5NGYxXkEyXkFqcGdeQXVyODgyNTQ1NzI@._V1_UY209_CR13,0,140,209_AL_.jpg","Drama, Horror, Mystery            "
31,Freedom Fight,7.5,"https://m.media-amazon.com/images/M/MV5BZGM5MDM2YTItNGI1Mi00NmYzLWJiNWMtZmFmOGI2MjVmYjA4XkEyXkFqcGdeQXVyMTI1MzE4NDU3._V1_UY209_CR4,0,140,209_AL_.jpg",Drama            
32,Jo and Jo,7.1,"https://m.media-amazon.com/images/M/MV5BZGI0MTRiYWQtMWYwNy00YzFlLWExYjYtMzAzOTkwODZmOTRjXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY209_CR1,0,140,209_AL_.jpg","Comedy, Drama            "
33,Pathaam Valavu,6.2,"https://m.media-amazon.com/images/M/MV5BYzlmOGI5NWItNGYyYS00NDEyLWIzMjgtMWI5MzZlOWUwODNlXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY209_CR1,0,140,209_AL_.jpg","Crime, Drama, Thriller            "
34,12th Man,6.9,"https://m.media-amazon.com/images/M/MV5BZjk5NjNlYTMtN2E1YS00MTk3LWI2NjgtOWU3NmI2ZDgxMTEwXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY209_CR18,0,140,209_AL_.jpg","Drama, Mystery, Thriller            "
35,Salute,7,"https://m.media-amazon.com/images/M/MV5BYjU4NmI5ZmUtODZmMi00YTRiLWJjYTEtYjFmNTNkYjk3ZjMyXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY209_CR13,0,140,209_AL_.jpg","Action, Crime, Drama            "
36,Sila Nerangalil Sila Manidhargal,8,"https://m.media-amazon.com/images/M/MV5BYTk1NDg3NjktMTA2MS00NmYzLWE0MTEtYWQxN2M5OTc2YmQyXkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_UY209_CR6,0,140,209_AL_.jpg",Drama            
37,Taanakkaran,8.1,"https://m.media-amazon.com/images/M/MV5BNjE0MzkyNjctOTZmZS00NGVjLWEyNjctOGIxNTc5MjFjN2M3XkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_UX140_CR0,0,140,209_AL_.jpg","Drama, Sport            "
38,Nenjuku Needhi,7.2,"https://m.media-amazon.com/images/M/MV5BNzU0MWZmNjctY2I4Zi00ZGFkLTgxMjItMDQ2YzEzZTY2MzMzXkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_UY209_CR6,0,140,209_AL_.jpg","Crime, Drama, Mystery            "
39,Saani Kaayidham,7.5,"https://m.media-amazon.com/images/M/MV5BODczZjBiNTgtZWYxZC00OGMzLTk4MTItZmFlYzJjMzU1NjQ0XkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_UY209_CR13,0,140,209_AL_.jpg","Action, Crime, Drama            "
40,Major,8.1,"https://m.media-amazon.com/images/M/MV5BYWI2ODNjMDktZjcxNS00YThkLTljMDUtMGIyOTg3ZjY2MjlhXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY209_CR4,0,140,209_AL_.jpg","Action, Biography, Drama            "
